genero,artista,cancion,popularidad,ano
reggaeton,DJ Luian,La Ocasión,75,2018
reggaeton,DJ Luian,OA,29,2023
reggaeton,DJ Luian,Solita,74,2018
reggaeton,DJ Luian,Aloha,27,2021
reggaeton,DJ Luian,Verte Ir,73,2019
reggaeton,DJ Luian,Sensualidad,73,2017
reggaeton,DJ Luian,Me Reclama,73,2016
reggaeton,DJ Luian,Báilame - Remix,72,2018
reggaeton,DJ Luian,Bubalu,70,2018
reggaeton,Mambo Kingz,Me Mata,75,2017
reggaeton,Mambo Kingz,La Ocasión,75,2018
reggaeton,Mambo Kingz,OA,29,2023
reggaeton,Mambo Kingz,Solita,74,2018
reggaeton,Mambo Kingz,Aloha,27,2021
reggaeton,Mambo Kingz,Verte Ir,73,2019
reggaeton,Mambo Kingz,Sensualidad,73,2017
reggaeton,Mambo Kingz,Me Reclama,73,2016
reggaeton,Mambo Kingz,Báilame - Remix,72,2018
reggaeton,Mambo Kingz,Bubalu,70,2018
